Year,Series Type,Date,Winner Team,Winner Games,Loser Team,Loser games,Total games,G1 Score W,G2 Score W,G3 Score W,G4 Score W,G5 Score W,G6 Score W,G7 Score W,G1 Score L,G2 Score L,G3 Score L,G4 Score L,G5 Score L,G6 Score L,G7 Score L
2023,Eastern Conf First Round,Apr 16 - Apr 26 2023,Miami Heat (8),4,Milwaukee Bucks (1),1,5,,,,,,,,,,,,,,
2023,Eastern Conf First Round,Apr 15 - Apr 26 2023,New York Knicks (5),4,Cleveland Cavaliers (4),1,5,,,,,,,,,,,,,,
2023,Eastern Conf First Round,Apr 15 - Apr 22 2023,Philadelphia 76ers (3),4,Brooklyn Nets (6),0,4,,,,,,,,,,,,,,
2023,Eastern Conf First Round,Apr 15 - Apr 27 2023,Boston Celtics (2),4,Atlanta Hawks (7),2,6,,,,,,,,,,,,,,
2023,Western Conf First Round,Apr 16 - Apr 25 2023,Denver Nuggets (1),4,Minnesota Timberwolves (8),1,5,,,,,,,,,,,,,,
2023,Western Conf First Round,Apr 16 - Apr 25 2023,Phoenix Suns (4),4,Los Angeles Clippers (5),1,5,,,,,,,,,,,,,,
2023,Western Conf First Round,Apr 15 - Apr 30 2023,Golden State Warriors (6),4,Sacramento Kings (3),3,7,123,106,114,126,123,99,120,126,114,97,125,116,118,100
2023,Western Conf First Round,Apr 16 - Apr 28 2023,Los Angeles Lakers (7),4,Memphis Grizzlies (2),2,6,,,,,,,,,,,,,,
2023,Eastern Conf Semifinals,Apr 30 - May 12 2023,Miami Heat (8),4,New York Knicks (5),2,6,,,,,,,,,,,,,,
2023,Eastern Conf Semifinals,May 1 - May 14 2023,Boston Celtics (2),4,Philadelphia 76ers (3),3,7,115,121,114,115,103,95,112,119,87,102,116,115,86,88
2023,Western Conf Semifinals,Apr 29 - May 11 2023,Denver Nuggets (1),4,Phoenix Suns (4),2,6,,,,,,,,,,,,,,
2023,Western Conf Semifinals,May 2 - May 12 2023,Los Angeles Lakers (7),4,Golden State Warriors (6),2,6,,,,,,,,,,,,,,
2023,Western Conf Finals,May 16 - May 22 2023,Denver Nuggets (1),4,Los Angeles Lakers (7),0,4,,,,,,,,,,,,,,
2023,Eastern Conf Finals,"May 17 - May 29, 2023",Miami Heat (8),4,Boston Celtics (2),3,7,,,,,,,,,,,,,,
2023,Finals,"Jun 1 - Jun 12, 2023",Denver Nuggets (1),4,Miami Heat (8),1,5,,,,,,,,,,,,,,
